order_id,product_id,quantity
1,165,1
1,34,3
1,209,2
1,3,4
1,154,5
2,146,4
2,192,1
3,115,4
3,212,4
3,191,2
3,19,1
3,96,1
4,96,5
4,59,4
5,64,2
5,215,4
5,297,2
5,282,4
5,171,1
6,148,5
6,127,3
6,80,2
7,73,3
8,254,2
8,270,3
9,253,5
9,182,1
9,28,1
9,298,2
10,278,5
10,260,1
10,263,3
10,242,4
11,111,2
11,293,4
11,169,3
11,68,4
11,163,1
12,277,1
12,133,1
13,125,5
13,117,5
13,269,2
13,148,4
14,166,2
14,101,2
14,58,4
14,51,1
14,285,4
15,128,1
15,37,1
15,22,4
16,240,1
16,57,4
16,11,5
17,126,5
17,56,5
17,76,3
17,296,1
18,76,0
19,162,3
19,214,1
19,41,4
20,189,1
20,170,4
20,45,4
21,40,2
22,114,2
22,119,1
22,265,5
23,206,2
23,245,2
24,139,4
24,120,4
25,86,1
25,227,4
25,244,0
25,6,2
25,269,2
26,85,1
27,138,0
27,233,4
27,34,4
28,256,2
28,81,3
28,68,5
28,167,2
29,56,4
29,3,3
29,189,1
30,287,1
30,7,2
30,85,2
30,260,2
30,104,2
31,190,3
31,12,4
31,23,5
31,161,4
32,147,1
32,201,5
32,155,4
32,189,3
32,49,1
33,119,5
33,71,1
33,143,5
33,65,5
34,170,3
34,22,3
34,88,4
34,73,5
34,250,5
35,27,3
35,169,1
35,296,4
35,26,4
35,222,2
36,155,5
36,79,2
36,299,1
37,87,5
37,250,5
37,298,5
37,257,2
38,97,5
38,66,3
38,162,2
39,235,4
39,36,5
40,62,4
40,189,1
40,185,3
41,191,2
42,292,2
42,20,5
42,3,1
42,266,2
43,268,1
43,35,5
43,121,4
43,69,2
44,54,1
44,185,3
44,92,4
45,70,2
45,47,4
46,202,3
46,272,5
46,106,5
46,295,2
47,107,2
48,20,5
48,265,4
48,208,3
49,180,2
49,69,4
49,149,2
49,227,5
50,120,3
51,25,5
51,125,5
52,109,1
52,6,2
52,224,2
52,245,5
53,276,2
53,185,5
53,191,4
54,73,3
55,134,5
56,45,5
56,187,5
56,126,1
57,14,4
57,5,5
57,100,2
57,114,2
57,185,3
58,6,5
58,9,3
59,151,4
60,73,1
60,127,3
61,25,4
61,45,4
61,12,1
61,44,1
61,3,2
62,82,2
62,157,2
63,133,2
63,221,3
64,71,4
64,160,4
64,42,1
65,85,2
65,196,3
65,117,2
65,74,5
66,112,5
66,26,5
66,195,5
67,298,4
68,49,1
69,36,1
69,272,1
69,190,1
70,273,3
70,33,3
71,80,2
71,88,1
71,191,5
72,141,3
72,41,5
73,273,2
73,214,1
73,210,3
74,234,3
75,95,5
75,205,3
75,88,3
75,222,5
75,289,2
76,53,4
76,194,2
76,99,5
76,160,1
76,87,4
77,73,5
77,277,5
77,99,1
78,82,3
78,34,4
79,225,5
79,95,2
79,12,1
79,10,5
80,118,2
80,25,1
81,31,2
82,107,1
82,50,3
82,250,4
83,245,2
84,194,5
84,239,3
84,78,1
84,217,1
85,272,3
85,138,4
85,39,2
85,155,2
86,166,3
87,242,2
87,178,1
87,84,1
88,72,1
88,114,3
89,267,2
89,255,3
90,125,5
90,209,3
90,75,2
91,142,2
91,14,3
91,101,2
92,217,2
92,93,1
93,211,5
94,199,5
94,263,3
94,33,3
95,218,5
95,58,4
96,126,1
96,201,1
96,152,5
96,162,4
96,120,1
97,173,5
98,236,2
98,180,3
98,132,5
98,162,1
98,99,2
99,127,3
99,168,2
100,270,4
101,265,3
101,166,5
101,46,3
102,3,4
102,159,4
103,209,3
103,193,4
103,204,5
103,162,5
103,28,1
104,105,1
105,116,1
105,165,4
105,210,3
105,140,3
106,113,3
107,157,4
107,157,3
107,285,1
107,182,2
107,18,5
108,63,1
109,155,1
109,278,3
109,163,1
109,18,5
109,204,5
110,297,3
110,205,4
111,183,3
111,283,3
112,286,3
112,162,2
113,256,3
113,190,2
113,44,1
113,72,4
113,300,4
114,254,4
114,300,4
114,297,2
114,226,4
115,185,3
115,153,4
115,97,2
115,228,4
116,184,1
117,117,3
117,295,5
118,300,5
119,128,4
119,245,4
120,168,1
120,74,5
120,106,1
121,244,5
121,284,4
121,27,3
121,177,4
121,141,2
122,112,1
123,93,3
123,193,5
123,80,5
123,137,1
124,175,0
124,115,3
124,64,4
124,187,0
125,246,1
125,33,5
125,91,2
125,122,5
126,266,4
126,78,3
126,109,5
127,32,5
127,242,5
127,225,1
127,50,3
127,250,4
128,202,3
128,173,1
128,222,1
129,131,1
130,275,2
130,55,2
130,242,1
131,13,4
132,188,3
132,235,2
133,80,3
133,79,4
134,126,2
135,152,1
135,270,2
136,29,1
137,181,4
137,153,2
137,90,1
137,83,4
137,225,4
138,263,3
138,268,4
138,132,5
139,151,1
139,258,5
140,288,1
140,100,2
141,77,3
141,97,2
141,269,5
141,90,1
142,60,1
142,33,4
142,153,5
143,8,4
143,55,3
143,20,5
143,40,4
144,177,5
144,127,1
145,205,3
145,275,3
145,166,5
146,1,4
146,119,4
146,200,3
147,95,2
147,245,1
147,245,4
147,216,3
148,95,1
148,150,3
148,261,3
149,93,1
149,8,5
149,56,5
150,299,2
151,53,1
152,120,5
152,288,5
152,1,5
152,217,2
152,244,1
153,237,5
154,98,5
154,191,3
155,23,5
155,205,2
155,107,5
155,242,5
155,167,3
156,262,4
156,68,0
156,105,1
156,101,5
157,19,2
157,112,1
158,264,4
158,239,2
158,216,2
158,148,1
158,145,2
159,230,3
159,127,5
159,108,3
159,132,1
160,200,3
160,264,5
160,201,5
161,221,3
161,30,5
162,30,4
163,201,4
163,203,3
163,27,3
163,207,2
163,153,3
164,130,4
165,12,1
165,170,3
166,260,2
167,252,3
167,79,5
168,280,1
168,278,1
168,260,3
168,44,3
168,77,5
169,220,4
170,121,2
171,269,4
171,141,4
171,203,4
172,27,3
173,173,5
174,18,2
175,256,1
175,36,5
175,131,1
175,221,1
175,155,4
176,68,1
176,248,4
176,145,3
176,178,4
177,223,4
178,294,1
178,279,2
179,7,3
179,131,1
180,34,4
180,186,5
180,53,4
180,152,4
180,147,1
181,164,5
181,58,4
182,197,1
183,94,1
183,68,4
183,142,4
183,263,1
184,43,4
184,104,1
184,30,3
185,175,2
186,244,5
186,74,3
187,299,4
188,245,1
188,102,5
188,228,4
188,175,5
188,227,2
189,31,2
189,196,4
189,268,5
189,96,1
189,112,5
190,264,1
191,150,3
191,95,2
192,49,1
193,87,2
193,180,5
