order_id,user_id,order_date,status
1,2358,2024-12-10,cancelled
2,2602,2024-06-08,completed
3,534,2025-05-27,
4,144,2025-08-30,cancelled
5,2636,2026-02-16,returned
6,851,2026-02-03,cancelled
7,4610,2026-02-21,completed
8,4645,2025-09-25,completed
9,289,2024-10-23,completed
10,3903,2025-07-30,
11,3169,2024-12-14,
12,1947,2024-09-05,
13,2828,2024-12-22,
14,1255,2025-12-15,
15,2951,2026-01-08,cancelled
16,1429,2025-03-30,
17,1314,2024-05-01,returned
18,3537,2024-05-26,returned
19,3768,2024-12-29,
20,4436,2025-07-17,cancelled
21,1025,2024-08-05,returned
22,3325,2025-05-27,
23,3774,2024-05-10,
24,3183,2025-04-27,
25,2671,2025-04-14,
26,4342,2024-06-28,cancelled
27,1565,2024-11-21,cancelled
28,2978,2024-08-07,
29,3345,2025-03-19,returned
30,1750,2025-04-22,
31,891,2025-11-02,
32,3377,2024-06-29,completed
33,2767,2025-06-29,cancelled
34,4240,2024-12-12,
35,3629,2025-12-24,completed
36,3162,2025-05-26,cancelled
37,4616,2024-12-08,cancelled
38,4711,2024-05-10,cancelled
39,2593,2024-06-19,
40,1070,2025-05-14,
41,4347,2024-09-11,completed
42,536,2024-10-07,completed
43,433,2025-07-17,returned
44,2567,2024-05-24,returned
45,1234,2025-02-10,cancelled
46,541,2025-06-18,returned
47,2585,2025-05-10,
48,1436,2025-10-03,returned
49,4603,2026-01-22,cancelled
50,1246,2026-01-21,cancelled
51,4361,2024-03-13,
52,4525,2024-08-27,
53,2304,2025-08-08,cancelled
54,1202,2025-06-17,
55,323,2025-06-04,cancelled
56,3874,2024-08-05,
57,164,2024-04-02,returned
58,4792,2024-06-29,cancelled
59,163,2024-05-18,
60,4644,2024-09-23,returned
61,697,2025-10-18,returned
62,1106,2025-02-23,returned
63,1225,2025-08-13,completed
64,1615,2024-12-02,returned
65,681,2025-08-20,returned
66,4053,2026-01-25,completed
67,4836,2024-08-24,
68,2992,2024-07-19,returned
69,2296,2024-11-07,completed
70,1368,2025-07-24,completed
71,2512,2024-11-16,returned
72,3547,2025-08-16,returned
73,3753,2024-08-08,completed
74,258,2024-07-01,cancelled
75,88,2025-09-29,completed
76,1636,2025-08-24,
77,295,2025-07-06,returned
78,2750,2025-11-28,returned
79,3478,2024-07-21,
80,1085,2025-09-10,returned
81,4526,2025-07-23,cancelled
82,2185,2026-01-31,completed
83,695,2024-07-22,returned
84,930,2024-04-04,completed
85,877,2026-02-12,cancelled
86,3059,2025-12-26,completed
87,1942,2025-01-28,completed
88,80,2024-03-31,completed
89,2795,2024-09-06,completed
90,3775,2025-01-16,returned
91,867,2025-04-23,completed
92,1137,2025-06-01,cancelled
93,665,2025-01-31,cancelled
94,751,2025-12-12,completed
95,1910,2025-02-09,cancelled
96,651,2025-11-24,
97,4337,2026-02-08,cancelled
98,1617,2025-07-09,
99,1525,2025-06-30,
100,4849,2025-03-15,completed
101,4159,2024-04-05,completed
102,1620,2025-10-14,returned
103,4441,2024-12-01,cancelled
104,621,2024-10-15,cancelled
105,2633,2025-04-17,cancelled
106,4853,2024-12-07,returned
107,4151,2024-04-07,returned
108,2056,2024-07-14,returned
109,4347,2026-01-29,completed
110,2062,2025-02-08,returned
111,530,2024-07-08,completed
112,2820,2024-11-17,completed
113,3524,2024-09-21,completed
114,3654,2024-05-18,completed
115,723,2024-12-25,returned
116,2962,2025-07-08,completed
117,2614,2024-08-25,
118,3936,2025-02-08,returned
119,4007,2024-04-05,returned
120,1559,2025-01-31,cancelled
121,350,2024-08-23,returned
122,3782,2024-07-06,returned
123,3304,2025-03-10,
124,3805,2024-06-03,
125,3159,2025-07-15,
126,1143,2025-10-03,returned
127,1224,2024-03-31,
128,3559,2024-03-03,cancelled
129,1507,2024-06-13,cancelled
130,3206,2025-04-14,
131,2764,2025-03-23,cancelled
132,3214,2024-06-30,cancelled
133,4501,2024-09-02,returned
134,3986,2025-08-05,
135,1310,2024-09-18,
136,490,2025-03-18,returned
137,549,2024-07-27,returned
138,4980,2024-09-29,returned
139,4250,2024-08-25,
140,3411,2025-05-30,
141,2524,2024-06-27,cancelled
142,2545,2024-10-05,
143,4908,2025-10-26,cancelled
144,2795,2025-07-29,returned
145,1050,2025-09-07,returned
146,3880,2025-12-14,completed
147,3032,2024-09-25,
148,2673,2025-05-25,cancelled
149,2561,2024-11-08,
150,4547,2024-12-21,returned
151,2713,2024-03-10,cancelled
152,2637,2025-01-18,cancelled
153,4993,2026-01-15,cancelled
154,2041,2025-12-22,
155,159,2024-09-07,returned
156,784,2025-05-15,
157,2635,2026-01-18,completed
158,3791,2025-02-13,returned
159,3192,2025-06-15,cancelled
160,2263,2026-02-19,cancelled
161,484,2025-06-06,
162,26,2025-10-14,returned
163,3954,2025-10-08,cancelled
164,2622,2025-01-23,
165,4955,2024-12-19,cancelled
166,1542,2025-05-26,completed
167,497,2024-08-25,cancelled
168,4130,2025-08-23,returned
169,3081,2025-02-12,
170,90,2025-09-10,returned
171,1181,2025-03-16,returned
172,3453,2024-03-19,completed
173,1210,2025-01-18,
174,4549,2025-12-17,cancelled
175,2574,2025-10-10,completed
176,3736,2024-08-24,returned
177,4969,2025-01-22,
178,4805,2026-01-06,cancelled
179,139,2024-09-19,completed
180,2675,2024-12-12,
181,2583,2024-08-21,
182,3558,2025-07-05,returned
183,2676,2024-03-13,completed
184,2655,2024-12-28,completed
185,458,2024-03-29,cancelled
186,557,2024-06-24,cancelled
187,4283,2026-01-03,cancelled
188,1926,2026-01-31,completed
189,2926,2026-02-13,returned
190,2815,2026-02-18,completed
191,4466,2024-04-05,completed
192,3244,2024-04-18,cancelled
193,733,2025-04-02,cancelled
194,945,2024-10-17,returned
195,463,2025-04-13,completed
196,1848,2025-03-10,
197,1795,2025-06-16,cancelled
198,1128,2024-08-07,returned
199,3243,2025-09-27,completed
200,2373,2024-11-23,
201,3400,2025-12-28,completed
202,4831,2024-10-27,completed
203,4774,2025-11-28,
204,661,2026-04-06,returned
205,1345,2024-06-02,
206,4393,2025-09-19,completed
207,2306,2025-08-12,returned
208,4186,2024-07-03,
209,1652,2024-07-03,returned
210,2680,2025-04-10,returned
211,2338,2024-11-26,
212,4943,2026-02-13,
213,924,2024-09-19,completed
214,875,2025-07-31,cancelled
215,4672,2025-07-16,returned
216,1756,2024-07-26,returned
217,446,2025-11-19,cancelled
218,2068,2026-01-20,cancelled
219,2539,2024-10-28,completed
220,1483,2025-06-05,returned
221,3184,2024-08-19,returned
222,3202,2024-05-14,cancelled
223,3934,2024-11-24,returned
224,2036,2025-03-04,completed
225,3,2025-05-07,completed
226,92,2025-04-10,returned
227,2486,2024-03-15,
228,4654,2024-12-11,cancelled
229,3016,2024-07-05,cancelled
230,3467,2026-01-22,returned
231,3421,2024-06-23,completed
232,287,2025-03-02,completed
233,2153,2024-07-29,
234,1677,2025-04-18,completed
235,249,2024-12-30,
236,923,2025-07-18,completed
237,3730,2025-07-13,returned
238,4614,2024-09-13,
239,1256,2025-04-06,cancelled
240,3092,2024-06-19,completed
241,3543,2025-07-08,
242,109,2024-10-10,completed
243,2301,2025-05-29,returned
244,1661,2024-09-26,returned
245,2228,2024-05-14,cancelled
246,3670,2026-02-10,completed
247,362,2025-01-09,
248,4003,2025-03-21,cancelled
249,388,2024-04-07,returned
250,4900,2025-10-24,returned
251,3871,2024-11-16,cancelled
252,3042,2025-12-23,cancelled
253,2841,2025-10-28,
254,3292,2026-02-02,returned
255,2847,2024-10-30,returned
256,4052,2024-07-27,
257,3537,2024-07-10,completed
258,1128,2025-03-01,returned
259,3823,2024-11-03,
260,1346,2025-10-24,completed
261,1189,2024-05-21,returned
262,1307,2024-07-26,cancelled
263,1687,2024-06-30,
264,3433,2025-12-19,completed
265,4457,2024-05-24,completed
266,4715,2024-03-04,completed
267,4510,2024-11-09,cancelled
268,2744,2026-01-28,
269,3059,2024-12-10,
270,3218,2024-07-14,cancelled
271,3343,2025-02-10,completed
272,3717,2024-08-17,cancelled
273,1543,2025-01-19,completed
274,4133,2025-02-14,completed
275,592,2025-01-11,returned
276,3327,2024-07-05,returned
277,4440,2024-07-13,completed
278,1565,2025-12-04,completed
279,2424,2025-08-01,completed
280,585,2025-02-19,completed
281,975,2025-01-08,
282,3302,2025-03-29,completed
283,2460,2025-12-28,returned
284,1708,2024-10-13,returned
285,4831,2024-05-03,
286,4861,2025-05-05,completed
287,259,2024-12-27,
288,255,2025-11-25,returned
289,3144,2025-01-10,completed
290,4810,2024-02-24,returned
291,4017,2024-04-13,completed
292,3994,2024-10-11,completed
293,4455,2025-11-18,completed
294,771,2025-09-17,
295,2764,2024-10-09,cancelled
296,3845,2025-07-29,completed
297,4528,2025-12-11,
298,3364,2025-04-13,completed
299,1052,2026-01-29,completed
300,3641,2025-02-02,completed
301,3795,2024-06-02,returned
302,3180,2024-05-11,completed
303,964,2025-10-19,
304,3701,2025-07-10,returned
305,327,2025-12-10,returned
306,3496,2024-11-17,completed
307,630,2024-11-18,cancelled
308,2041,2025-07-07,completed
309,1447,2024-07-10,
310,1497,2025-04-18,cancelled
311,4781,2025-02-12,
312,3643,2026-02-15,completed
313,1141,2025-09-23,cancelled
314,4958,2024-10-03,completed
315,3004,2025-08-09,
316,4303,2024-07-19,returned
317,872,2025-09-06,
318,2285,2025-02-01,
319,3460,2026-02-12,completed
320,2153,2024-09-25,returned
321,4155,2024-08-18,cancelled
322,1127,2025-05-17,completed
323,708,2024-10-07,cancelled
324,3655,2024-10-05,returned
325,3915,2024-05-11,completed
326,1520,2024-06-12,
327,326,2024-08-03,cancelled
328,2461,2024-11-18,cancelled
329,3201,2025-12-05,completed
330,4180,2024-10-17,completed
331,2179,2025-03-18,completed
332,1123,2024-05-10,returned
333,3936,2025-07-01,cancelled
334,3890,2025-01-06,
335,812,2025-03-25,cancelled
336,4436,2025-02-05,completed
337,1041,2024-10-26,cancelled
338,558,2025-01-21,
339,595,2025-01-07,cancelled
340,3388,2025-09-18,returned
341,2151,2026-01-30,
342,3538,2025-01-10,completed
343,3233,2025-02-22,completed
344,3062,2024-07-29,
345,1841,2024-12-21,cancelled
346,4175,2024-09-14,
347,1289,2025-12-11,cancelled
348,2357,2025-04-05,
349,3546,2025-10-04,completed
350,4602,2025-01-06,completed
351,1193,2024-12-25,completed
352,3222,2025-08-07,returned
353,2798,2024-10-05,returned
354,4959,2024-02-22,returned
355,3850,2025-07-20,
356,4830,2025-08-27,cancelled
357,746,2024-06-26,
358,4365,2025-02-15,completed
359,2198,2025-02-17,returned
360,4870,2024-08-29,cancelled
361,2656,2025-05-15,cancelled
362,2856,2025-03-21,returned
363,2745,2025-03-16,
364,4897,2025-05-12,
365,1543,2024-12-20,cancelled
366,2417,2025-01-06,cancelled
367,2962,2025-07-19,returned
368,3791,2024-08-14,cancelled
369,2388,2025-05-11,cancelled
370,2764,2024-11-07,cancelled
371,4072,2024-06-13,returned
372,3968,2024-06-13,returned
373,3761,2024-10-06,returned
374,4965,2025-03-12,completed
375,3085,2024-09-05,
376,2088,2026-03-05,
377,4511,2026-01-20,returned
378,3445,2024-09-21,cancelled
379,3504,2024-12-13,
380,3903,2024-10-08,
381,979,2024-10-14,cancelled
382,2961,2026-01-11,completed
383,576,2025-09-17,returned
384,4385,2024-07-13,returned
385,786,2025-06-18,
386,4642,2024-04-26,completed
387,2271,2026-03-14,returned
388,1889,2025-06-04,cancelled
389,4675,2025-06-04,returned
390,2897,2025-09-28,cancelled
391,4536,2025-04-24,returned
392,1408,2024-11-13,
393,143,2024-07-19,cancelled
394,2210,2025-04-04,
395,2017,2025-01-27,
396,3765,2025-04-05,cancelled
397,1806,2024-04-20,returned
398,1957,2025-06-28,returned
399,4913,2025-11-18,
400,1903,2025-11-01,completed
401,3347,2025-07-27,
